model,dataset,fraction,seed,budget,n_train,n_val,n_labels_total,n_classes,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,forced_val_classes,degenerate
MIDNIGHT,SPIDER-Breast,0.1,123,proportional,6868,1203,8071,18,0.9790856550362208,0.7274355058818052,,0.1497621011784905,0.1497429091462212,0.5097153115470741,0.039822066332393,0.0403987805254244,0.1157553598138607,0,0,False
MIDNIGHT,SPIDER-Breast,0.1,456,proportional,6868,1203,8071,18,0.9794520983326788,0.7321151533680035,,0.1503984425360331,0.1503984425360332,0.5196096749906224,0.0358160542065093,0.0361114613485249,0.1158384577031743,0,0,False
MIDNIGHT,SPIDER-Breast,0.25,42,proportional,17176,3027,20203,18,0.984621852935473,0.7682115467249037,,0.1061114333495477,0.106069802153867,0.5484474990020735,0.0370151086562529,0.0371618820587233,0.119744058500914,0,0,False
MIDNIGHT,SPIDER-Breast,0.25,123,proportional,17176,3027,20203,18,0.98453650193429,0.768433449026285,,0.1051897763468919,0.1050184303377395,0.5435954658940336,0.0408011799876352,0.0409672298593715,0.1204919395047365,0,0,False
MIDNIGHT,SPIDER-Breast,0.25,456,proportional,17176,3027,20203,18,0.9842713457812776,0.7683337771742129,,0.1051222582143152,0.1051222582143152,0.5537926289168101,0.0370237149403287,0.037380381445966,0.1198271563902276,0,0,False
MIDNIGHT,SPIDER-Breast,0.5,42,proportional,34361,6060,40421,18,0.9872668417460412,0.7899382126086395,,0.0793208623378422,0.0793208623378422,0.569227058546568,0.039018344419576,0.0392006498799456,0.1213229183978727,0,0,False
MIDNIGHT,SPIDER-Breast,0.5,123,proportional,34361,6060,40421,18,0.9870820579052898,0.7900938264526741,,0.0735072613971266,0.0734874343701015,0.5841059841219697,0.0398738265264757,0.040027946484989,0.122320093069636,0,0,False
MIDNIGHT,SPIDER-Breast,0.5,456,proportional,34361,6060,40421,18,0.9872657936769692,0.7917671032488554,,0.0763307700197398,0.0763090240075636,0.5687253863673049,0.0416596870542642,0.0412053874703608,0.1228186804055177,0,0,False
MIDNIGHT,SPIDER-Breast,1.0,42,proportional,68730,12128,80858,18,0.989004333235496,0.8134626320897372,,0.0568350632891392,0.0568350632891391,0.6037838727093849,0.0375121508849118,0.0373276055384743,0.1234834635200265,0,0,False
MIDNIGHT,SPIDER-Breast,1.0,123,proportional,68730,12128,80858,18,0.989004333235496,0.8134626320897372,,0.0568350632891392,0.0568350632891391,0.6037838727093849,0.0375121508849118,0.0373276055384743,0.1234834635200265,0,0,False
MIDNIGHT,SPIDER-Breast,1.0,456,proportional,68730,12128,80858,18,0.989004333235496,0.8134626320897372,,0.0568350632891392,0.0568350632891391,0.6037838727093849,0.0375121508849118,0.0373276055384743,0.1234834635200265,0,0,False
PLIP,BRACS,0.01,42,proportional,33,7,40,7,0.6782269658704332,0.1931426407041312,,0.0379062928140203,0.0640910631227619,2.375161145067821,0.0782165272839208,0.0804394093002369,0.743859649122807,0,7,False
PLIP,BRACS,0.01,123,proportional,33,7,40,7,0.740245436657333,0.2212882213735092,,0.0529550743822738,0.0850212046621148,1.077991309152111,0.0605496912274264,0.0870488635060478,0.6508771929824562,0,7,False
PLIP,BRACS,0.01,456,proportional,33,7,40,7,0.7669590224196211,0.2699972235330034,,0.1171863558209127,0.1384197384551854,0.9246583743062446,0.1062914763625733,0.1319326167005136,0.6105263157894737,0,7,False
PLIP,BRACS,0.05,42,proportional,180,14,194,7,0.7978892808120891,0.3114714478420103,,0.1559684312570727,0.1871885414331293,0.4966977043663009,0.0989895086890936,0.1120316927130969,0.3245614035087719,0,0,False
PLIP,BRACS,0.05,123,proportional,180,14,194,7,0.7911151407653491,0.2859126389049953,,0.110206981378692,0.1321471037550994,0.6472536604994827,0.0753180446899425,0.0817975306706218,0.3298245614035088,0,0,False
PLIP,BRACS,0.05,456,proportional,180,14,194,7,0.8224502656461267,0.3135540725768316,,0.1569479520843599,0.1730035628934449,0.5262082885221216,0.0727536528350411,0.1031017797803803,0.3070175438596491,0,0,False
PLIP,BRACS,0.1,42,proportional,362,28,390,7,0.8279253532298672,0.3663077660167316,,0.1603025105522598,0.1562217982880095,0.526352404668151,0.0612496810153628,0.080086796665737,0.2912280701754386,0,0,False
PLIP,BRACS,0.1,123,proportional,362,28,390,7,0.8163022216422565,0.3636837581222032,,0.1330660928145206,0.1457452317078245,0.5821375844976501,0.0512904410775085,0.0731704360320142,0.2789473684210526,0,0,False
PLIP,BRACS,0.1,456,proportional,362,28,390,7,0.8275506197567146,0.3666381718470688,,0.132359776121856,0.1497692196632451,0.5050272772853387,0.068991261618492,0.0641541589829685,0.3280701754385965,0,0,False
PLIP,BRACS,0.25,42,proportional,912,75,987,7,0.842678174733009,0.4538376534232143,,0.1283394939599074,0.1388346326017861,0.673843575223094,0.0363829662141579,0.0512081768428481,0.2631578947368421,0,0,False
PLIP,BRACS,0.25,123,proportional,912,75,987,7,0.8334906525443971,0.4579599364025292,,0.1338887019536196,0.1339296417444246,0.5850118223044091,0.0262002118919298,0.0369028630667054,0.256140350877193,0,0,False
PLIP,BRACS,0.25,456,proportional,912,75,987,7,0.8322360784889582,0.4474514831606828,,0.1127513909474764,0.1156743491119338,0.5702647630896391,0.0633395016138671,0.0654752509658252,0.2859649122807017,0,0,False
PLIP,BRACS,0.5,42,proportional,1826,154,1980,7,0.8480830225376655,0.47857154926627,,0.0762162047212219,0.0839846214728695,0.7494497619762124,0.0389311145194736,0.0554509312510892,0.243859649122807,0,0,False
PLIP,BRACS,0.5,123,proportional,1826,154,1980,7,0.8468326302800956,0.4683696626772486,,0.086122303765507,0.0916540692572257,0.6998766942859015,0.0465294361007679,0.054169032737133,0.2421052631578947,0,0,False
PLIP,BRACS,0.5,456,proportional,1826,154,1980,7,0.8416856339680444,0.4773077717162203,,0.0729814206754879,0.1014852896952541,0.6521365182053968,0.0604688099846094,0.0812311598147185,0.2385964912280701,0,0,False
PLIP,BRACS,1.0,42,proportional,3657,312,3969,7,0.856587673169057,0.4978774599268564,,0.0587771940622889,0.0825212113611179,0.7837318247123395,0.0567169418416456,0.0640721139626216,0.2105263157894736,0,0,False
