model,dataset,fraction,C,auroc,ece
CONCH,BRACS,1.0,1.0,0.9046904324226631,0.029824666023351726
CONCH,BRACS,1.0,10.0,0.9101991195702471,0.09136838564150813
CONCH,BRACS,1.0,100.0,0.9122440904687382,0.13951663481467938
VIRCHOW2,MHIST,0.01,0.01,0.6110540848790443,0.09065565377067342
VIRCHOW2,MHIST,0.01,0.1,0.6133216279488564,0.09508867187351844
VIRCHOW2,MHIST,0.01,1.0,0.6291268983732516,0.1387514244744005
VIRCHOW2,MHIST,0.01,10.0,0.6936100606278889,0.10762272083291759
VIRCHOW2,MHIST,0.01,100.0,0.7325619785101146,0.1377202388695659
VIRCHOW2,MHIST,0.1,0.01,0.8167341977309563,0.08512652446398179
VIRCHOW2,MHIST,0.1,0.1,0.8291629149408729,0.1502409527779008
VIRCHOW2,MHIST,0.1,1.0,0.8628774236148629,0.18021652824577283
VIRCHOW2,MHIST,0.1,10.0,0.8856654060868001,0.0905625806504129
VIRCHOW2,MHIST,0.1,100.0,0.8761150129059367,0.0497991313225463
VIRCHOW2,MHIST,1.0,0.01,0.8547496848550334,0.14329148278754272
VIRCHOW2,MHIST,1.0,0.1,0.8849045560958041,0.1971835410243574
VIRCHOW2,MHIST,1.0,1.0,0.9157977669728075,0.1131381783010071
VIRCHOW2,MHIST,1.0,10.0,0.9280208896092202,0.049685749904188496
VIRCHOW2,MHIST,1.0,100.0,0.9311138123536825,0.0345776810066363
VIRCHOW2,LungHist700,0.01,0.01,0.8083468593547201,0.32354166982920457
VIRCHOW2,LungHist700,0.01,0.1,0.8086123995276114,0.30517132976530953
VIRCHOW2,LungHist700,0.01,1.0,0.8104034732786647,0.2941264391703594
VIRCHOW2,LungHist700,0.01,10.0,0.8103687381947621,0.1720409757623453
VIRCHOW2,LungHist700,0.01,100.0,0.8069751093212201,0.11532484588735652
VIRCHOW2,LungHist700,0.1,0.01,0.8874018253610645,0.03173005377321425
VIRCHOW2,LungHist700,0.1,0.1,0.8915167613765146,0.15953117967777658
VIRCHOW2,LungHist700,0.1,1.0,0.913326549787318,0.25459758345941563
VIRCHOW2,LungHist700,0.1,10.0,0.9303449831935029,0.1860755401407759
VIRCHOW2,LungHist700,0.1,100.0,0.926702940309945,0.08958055243768755
VIRCHOW2,LungHist700,1.0,0.01,0.9255979665787241,0.15195697083536577
VIRCHOW2,LungHist700,1.0,0.1,0.9552892296694347,0.3075017284652493
VIRCHOW2,LungHist700,1.0,1.0,0.9724456901692357,0.2636798581562782
VIRCHOW2,LungHist700,1.0,10.0,0.9851197904426993,0.1602445121408444
VIRCHOW2,LungHist700,1.0,100.0,0.9866200105912081,0.055943064237942236
VIRCHOW2,BRACS,0.01,0.01,0.7788117462360716,0.0737153113769329
