model,dataset,fraction,seed,n_train,n_classes,auroc,f1_macro,f1_binary,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate,forced_classes
UNI,CRC,0.01,42,696,9,0.9993864513833208,0.9844282982254644,,,0.2161282951803061,0.2161282951803061,0.3411379999907233,0.0022012801035689,0.002664778326685,0.1447333333333333,False,0
UNI,CRC,0.01,123,696,9,0.9995794231152996,0.9879094219544255,,,0.2254445121704304,0.2254445121704304,0.3175450662719438,0.0047063867338507,0.0048022736294736,0.1426,False,0
UNI,CRC,0.01,456,696,9,0.9993768779504184,0.9844389217013192,,,0.2208923105354971,0.220892310535497,0.3362058481281839,0.0032836000213338,0.003174612500565,0.1429333333333333,False,0
UNI,CRC,0.05,42,3495,9,0.9995425683483928,0.9906217483339248,,,0.0747227124096088,0.0747227124096089,0.4869464029013599,0.0022814537985067,0.0024559983233509,0.1423333333333333,False,0
UNI,CRC,0.05,123,3495,9,0.9996379053640874,0.990502479791878,,,0.0758379357215968,0.0758379357215967,0.4810034550371515,0.0025116026188704,0.0027439495889229,0.1418,False,0
UNI,CRC,0.05,456,3495,9,0.9996474310471702,0.9909971758621172,,,0.0774978645239602,0.0774978645239602,0.4668475573880666,0.0027227983120271,0.0032492683690679,0.1422666666666666,False,0
UNI,CRC,0.1,42,6996,9,0.9996325775034144,0.9913321797288146,,,0.0461828370531202,0.0461828370531202,0.5386091519763001,0.002063050762628,0.0011601186965277,0.1416,False,0
UNI,CRC,0.1,123,6996,9,0.999699408290196,0.99199503335952,,,0.0472103874813738,0.0472103874813739,0.5373406924924745,0.0023762582540864,0.0021895462184174,0.1418666666666666,False,0
UNI,CRC,0.1,456,6996,9,0.999677035271239,0.9914709994921728,,,0.0470816547520245,0.0468866513222687,0.5333150409066956,0.0017634799044585,0.0018027922470779,0.1421333333333333,False,0
UNI,CRC,0.25,42,17496,9,0.9997786037222698,0.9924152214339376,,,0.0246053161622286,0.0246053161622286,0.6063097125395827,0.0015278394497323,0.0008303907728525,0.1416666666666666,False,0
UNI,CRC,0.25,123,17496,9,0.9997931940737164,0.9933299853787976,,,0.0246531718214047,0.0245675459357787,0.6002459509208028,0.001950673786648,0.0011221750209463,0.1418,False,0
UNI,CRC,0.25,456,17496,9,0.9998607542551794,0.9932292492090824,,,0.0257121667752499,0.0256772937445253,0.5941126884919996,0.0014989447498068,0.0007074138104636,0.142,False,0
UNI,CRC,0.5,42,34998,9,0.9999200303704976,0.9939811659858564,,,0.0160796694374216,0.0156243097865069,0.6271922626973402,0.0008393392724999,0.0007737930312174,0.1418666666666666,False,0
UNI,CRC,0.5,123,34998,9,0.9998543881739848,0.994216687980774,,,0.0154576370373812,0.0154576370373812,0.6319158903545993,0.0013224854831064,0.0006228429244841,0.1420666666666666,False,0
UNI,CRC,0.5,456,34998,9,0.9999019626084542,0.994220343524888,,,0.0158522315690216,0.0158512505639238,0.6339256370208878,0.0010470071424073,0.0007701622571094,0.1420666666666666,False,0
UNI,CRC,1.0,42,70000,9,0.9999219330690908,0.9948402491051612,,,0.010392303586176,0.0099608754824488,0.6578746139383109,0.0008462966558535,0.000626201012274,0.142,False,0
